회사명,공장대표주소,업종명,생산품
유성프린트,"서울특별시 성동구 연무장5길 11 (성수동2가, 크로바상사(주))",스크린 인쇄업,스크린인쇄
유일자수,"서울특별시 성동구 아차산로 49, 지층 106 (성수동1가, 서울숲 코오롱디지털타워 Ⅲ)",자수제품 및 자수용재료 제조업 외 1 종,자수
유진금속(주),서울특별시 성동구 왕십리로14나길 18 (성수동1가),수동식 식품 가공기기 및 금속 주방용기 제조업 외 7 종,주방용기구
유진섬유,"서울특별시 성동구 뚝섬로15길 1, 3층 (성수동2가)","근무복, 작업복 및 유사의복 제조업 외 7 종","의류,자켓,바지,내의"
유하정판(주),"서울특별시 성동구 아차산로13길 11 (성수동2가, 효진건업)",기타 인쇄업 외 1 종,박스
유한금속산업,서울특별시 성동구 성수일로 19 (성수동1가),"금속 문, 창, 셔터 및 관련제품 제조업",금속가공
육성,"서울특별시 성동구 성수일로8길 53 (성수동2가, 성수동복합시설)",시계 및 시계부품 제조업,시계부품
으뜸디지털컴(주),서울특별시 성동구 아차산로 92 (성수동2가),기타 인쇄업 외 1 종,옵셋인쇄
으뜸애드,서울특별시 성동구 성수동2가 314-11번지 1층,제책업 외 1 종,"책, 노트"
은성디앤피,"서울특별시 성동구 연무장15길 11, 가 1층 (성수동2가)",기타 인쇄업 외 1 종,인쇄물
을지인쇄(주),"서울특별시 성동구 성수이로 144-29, 205호 (성수동2가)",기타 인쇄업 외 1 종,"카다로그,전단지"
이노브주식회사,"서울특별시 성동구 아차산로 138, 2층 (성수동2가)",기타 인쇄업 외 1 종,"POP, VMD, 소프트웨어 제작"
이노자인,서울특별시 성동구 연무장5가길 7 (성수동2가) 성수역 현대테라스타워 E동 1406호,간판 및 광고물 제조업,"안내판제작 , 실사출력(디지털프린트)"
이다제화,"서울특별시 성동구 성수이로14길 14 (성수동2가, (주)대경케미칼)",구두류 제조업,구두
이데아쥬얼리,"서울특별시 성동구 성수이로24길 38 (성수동2가, 신흥아파트형공장)",귀금속 및 관련제품 제조업,"장신구(목걸리, 팔지)"
이세에너지,서울특별시 성동구 뚝섬로1길 25 (성수동1가),금속탱크 및 저장용기 제조업 외 1 종,물탱크
이수텍스타일,"서울특별시 성동구 성수일로 8-1 (성수동1가, 유화섬유)","직물, 편조원단 및 의복류 염색 가공업",염색
이앤이커뮤니케이션,"서울특별시 성동구 성수이로 144-29, 304호 (성수동2가)",기타 인쇄업 외 1 종,"리플렛,전단지,카다로그"
이치준,"서울특별시 성동구 아차산로5길 7 (성수동2가, 아주디지털타워)",기타 인쇄업 외 1 종,인쇄물 외
이터널,"서울특별시 성동구 연무장13길 3, 4층 (성수동2가)",구두류 제조업,수제화(숙녀화)
