순번,회사명,공장대표주소(도로명),업종명,생산품
350,준희어패럴,서울특별시 중랑구 동일로 660 (면목동),"근무복, 작업복 및 유사의복 제조업 외 2 종",티셔츠
351,지우디자인,"서울특별시 중랑구 신내로 50-4, 지층 (신내동)",커튼 및 유사제품 제조업 외 4 종,"블라인드, 커텐"
352,진미유통,"서울특별시 중랑구 망우로68길 101 (망우동, 은하피아노학원)","면류, 마카로니 및 유사식품 제조업 외 1 종",국수.냉면.도시락
353,진영어패럴,"서울특별시 중랑구 겸재로 124, 3층(면목동, LG전자)",침구 및 관련제품 제조업 외 16 종,"가방, 벨트의류, 자켓, 바지, 내의, 모자"
354,창우출력소,"서울특별시 중랑구 겸재로54길 105, 2층 (면목동)",간판 및 광고물 제조업,간판 및 광고물
355,창원산업,"서울특별시 중랑구 용마산로 494 (망우동, 상아빌딩)",셔츠 및 블라우스 제조업 외 1 종,섬유봉제품
356,창원엔지니어링,서울특별시 중랑구 공릉로2가길 6 (묵동),그 외 기타 의료용 기기 제조업,"인큐베이터,수술조명등(할로겐램프)"
357,창조실업,서울특별시 중랑구 망우로 440 (망우동),셔츠 및 블라우스 제조업 외 1 종,티셔츠
358,청운실업,서울특별시 중랑구 용마산로84길 5 (면목동),주방용 및 음식점용 목재가구 제조업 외 1 종,주방용 씽크대
359,청주모자,"서울특별시 중랑구 사가정로42길 75, 3층(면목동, 연세피아노)",기타 편조의복 액세서리 제조업,모자
360,카치토,"서울특별시 중랑구 면목로55길 10, 2층 (면목동)",침구 및 관련제품 제조업 외 12 종,의류
361,캡틴모자,"서울특별시 중랑구 면목로44가길 22, 지층 (면목동)",모자 제조업,모자
362,코사 하모니,"서울특별시 중랑구 용마산로 363, 3층 (면목동)",남자용 겉옷 제조업 외 5 종,"교복,유니폼"
363,키노톤 주식회사,"서울특별시 중랑구 신내역로 111,(신내동, 신내 SK V1 center) A동 5층 510호",전시 및 광고용 조명장치 제조업 외 3 종,"전광판, 전광판 컨트롤러, 스피커, 영상정보디스플레이장치, 기타 음향기기, LED 간판 및 광고물"
364,탑마인드,"서울특별시 중랑구 동일로 624, 4층(면목동, 동원빌딩)",자수제품 및 자수용재료 제조업 외 1 종,"계급장, 휘장, 명찰, 마크"
365,탑어패럴,"서울특별시 중랑구 중랑역로 119, 지하 (중화동)",침구 및 관련제품 제조업 외 17 종,"의류, 침구류, 배낭,가방, 벨트, 침낭,천막, 귀덮개,마스크,유포,퀼팅원단,망사포대"
366,태성사,"서울특별시 중랑구 용마산로 453, 2층 (망우동)",그 외 기타 의복액세서리 제조업 외 7 종,장갑
367,포센스어패럴,"서울특별시 중랑구 봉화산로 105, 청우빌딩 2층 (상봉동)",여자용 겉옷 제조업 외 6 종,"의류, 유니폼, 정장"
368,포에버,"서울특별시 중랑구 봉우재로 204, 3층(망우동, 송정빌딩)","근무복, 작업복 및 유사의복 제조업",의류
369,피닉스테크,서울특별시 중랑구 사가정로 357 (면목동),"전자코일, 변성기 및 기타 전자 유도자 제조업",전자코일및변셩기제조
370,피엠케이코리아(P.M.K KOREA),"서울특별시 중랑구 망우로68길 56, 2층 (망우동)",기타 직물제품 제조업 외 7 종,의류(점퍼)
371,하나컴퍼니,"서울특별시 중랑구 용마산로118길 124, 지층 (망우동)","플라스틱 포대, 봉투 및 유사제품 제조업",주방용 비닐제품
372,한강패션,서울특별시 중랑구 망우로55길 46 (상봉동),"근무복, 작업복 및 유사의복 제조업 외 4 종","근무복,작업복"
373,한국섬유,"서울특별시 중랑구 중랑천로 182, 지층 (중화동)",편조원단 제조업,원단(면직류 실)
374,한마음섬유,"서울특별시 중랑구 용마산로115길 71 (망우동, 황룡빌딩)",편조의복 제조업,"티셔츠, 스포츠의류"
375,한성어패럴,"서울특별시 중랑구 면목로 372, 2층 (면목동)",침구 및 관련제품 제조업 외 13 종,의류
376,한솔,"서울특별시 중랑구 용마산로 522, 2층 (망우동)",셔츠 및 블라우스 제조업 외 7 종,의류
377,한솔기획,"서울특별시 중랑구 면목로 452, 1층 (면목동)",간판 및 광고물 제조업 외 2 종,"간판, 현수막 등 광고물"
378,한아름전자,"서울특별시 중랑구 동일로151길 13 (묵동, 원창빌딩)",배전반 및 전기 자동제어반 제조업,선풍기.세탁기의연결선(코드)
379,한영컴퍼니,"서울특별시 중랑구 용마산로122길 4, 지하1층 (망우동)",그 외 기타 봉제의복 제조업 외 12 종,"의류 전품목, 수영복, 마스크"
380,한원공업(주),서울특별시 중랑구 용마산로 357 (면목동),"전기회로 개폐, 보호장치 제조업 외 1 종",음향기기부품
381,해동기획,서울특별시 중랑구 용마산로 559 (신내동),간판 및 광고물 제조업,"간판, 아크릴광고물"
382,현대사무방종합문구,"서울특별시 중랑구 동일로140길 19-8, 지층. 1층 (중화동)",문구용 종이제품 제조업,"바이더, 파일"
383,환희실업,"서울특별시 중랑구 중랑천로 358 (묵동, 동명빌딩)",가방 및 기타 보호용 케이스 제조업,가방
384,황금산농원,"서울특별시 중랑구 답십리로77길 89, 1층 (면목동)",침구 및 관련제품 제조업,베개(침구류)
