시설명,동구분,주소,위도,경도,생산품,업종명,데이터기준일
하나니트,쌍문동,도봉구 노해로42길 63 (쌍문동),37.64885,127.02968,양말편조,스타킹 및 기타양말 제조업,2018-01-01
한강실업,도봉동,"도봉구 도당로29길 82, 지층 (도봉동)",37.67088,127.04249,"의류, 침구류",면직물 직조업 외 2 종,2018-01-01
유환섬유,쌍문동,도봉구 도봉로109길 85 (쌍문동),37.6479,127.02895,양말,스타킹 및 기타양말 제조업,2018-01-01
이레상사,방학동,도봉구 방학로 49 (방학동),37.6624,127.04688,양말,스타킹 및 기타양말 제조업,2018-01-01
이영조경(주),방학동,"도봉구 시루봉로15길 13,  지층,1층 (방학동)",37.66773,127.03269,"운동기구, 놀이시설","체조, 육상 및 체력단련용 장비 제조업 외 14 종",2018-01-01
주식회사 드림레포츠,창동,도봉구 창동,37.64297,127.03596,등산복 및 스포츠의류 제조,"근무복, 작업복 및 유사의복 제조업 외 5 종",2018-01-01
태경실업,쌍문동,도봉구 방학로5길 40 (쌍문동),37.66091,127.03768,"밴드, 양말, 모자",자수제품 및 자수용재료 제조업,2018-01-01
트리플알(주),방학동,도봉구 도봉로 700-6 (방학동),37.66682,127.0438,"오스카, 여과기",기체 여과기 제조업 외 1 종,2018-01-01
피엠씨아이엔티(주),쌍문동,"도봉구 노해로57길 20, 지층 (쌍문동)",37.65198,127.03336,의류제품,"근무복, 작업복 및 유사의복 제조업 외 1 종",2018-01-01
한국A/V산업,창동,도봉구 도봉로104길 122 (창동),37.64422,127.03859,방송장치(유선방송설비),방송장비 제조업 외 2 종,2018-01-01
한국실업,쌍문동,도봉구 도봉로 443 (쌍문동),37.64556,127.03253,양말,스타킹 및 기타양말 제조업,2018-01-01
한국환경약품공사,방학동,도봉구 방학로 99-12 (방학동),37.66212,127.04145,미량요소복합비료,기타 비료 및 질소화합물 제조업,2018-01-01
한성텍스,창동,도봉구 우이천로4나길 6-8 (창동),37.6341,127.04093,자수제품,자수제품 및 자수용재료 제조업,2018-01-01
한진사,방학동,도봉구 시루봉로 272-1 (방학동),37.67057,127.03943,자수제품,자수제품 및 자수용재료 제조업,2018-01-01
