순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
335,e.LASER,손상봉,"목금형, 레이저가공",서울특별시 영등포구 경인로80길 3-2 (문래동1가),전자 응용 절삭기계 제조업
336,㈜네트콤,변 준 우,"도서관리시스템, 영상정보디스플레이장치, 안내 전광판",서울특별시 영등포구 양평로30길 14 (양평동6가) 9층층 904호 외 2필지,전시 및 광고용 조명장치 제조업 외 2 종
337,㈜대성컨트롤,김성호,배전반 및 전기 자동제어반,"서울특별시 영등포구 선유로13길 25, 307호(문래동6가, 에이스하이테크시티2) 307호",배전반 및 전기 자동제어반 제조업 외 3 종
338,가나정공,장우섭,수도계량기부품,"서울특별시 영등포구 양산로 96, D-1호 (당산동2가)",운송장비 조립용 플라스틱제품 제조업 외 1 종
339,가람전자(주),배수천,자동화기계,"서울특별시 영등포구 가마산로90길 6 (신길동, 가람전자)",그 외 기타 일반목적용 기계 제조업 외 1 종
340,간판공장직영 거성광고공사,김동율,간판 현수막 안내판 LED전광판 목간판,"서울특별시 영등포구 신길로 70, 2층(신길동)",건축물 일반 청소업 외 9 종
341,강원정밀,배석민,자동화기계부품,서울특별시 영등포구 도림로147길 11-5 (문래동4가),절삭가공 및 유사처리업
342,거목정보산업(주),정덕순,인쇄물,"서울특별시 영등포구 경인로82길 3-4, B1층 108 (문래동1가, 센터플러스)",경 인쇄업 외 1 종
343,거우화학,최장수,플라스틱,"서울특별시 영등포구 영등포로5길 19 (양평동2가, 동아프라임밸리)",합성수지 및 기타 플라스틱 물질 제조업
344,건설볼트공업사,김충호,볼트,서울특별시 영등포구 경인로76길 5 (문래동1가),"철물, 금속 파스너 및 수공구 도매업"
345,건영보일러,이재금,"보일러,압력용기,탱크류",서울특별시 영등포구 문래로 79-17 (문래동3가),산업용 난방보일러 및 방열기 제조업
346,건인약품(주),박성근,도시락 및 식사용 조리식품,"서울특별시 영등포구 선유서로 17, 7층 701호 (문래동5가, 문래동 빅토리 테크노 타워)",도시락류 제조업 외 2 종
347,경성문화사,박진태,"경인쇄,보고서","서울특별시 영등포구 국회대로66길 11 (여의도동, 제일정밀공업주식회사)",경 인쇄업 외 2 종
348,경진기계,이북규,"실린더, 로라",서울특별시 영등포구 영등포로3길 22 (양평동2가),그 외 기타 특수목적용 기계 제조업 외 1 종
349,경진이엔지,박복림,철도차량부품,"서울특별시 영등포구 경인로77가길 16 (문래동2가, 부곡빌딩)",철도차량 부품 및 관련 장치물 제조업 외 1 종
350,고려산업사,윤경로,책표지,서울특별시 영등포구 양평로12가길 5 (당산동6가),제책업
351,고성테크,노창훈,금형,서울특별시 영등포구 도림로141라길 19-3 (문래동4가),주형 및 금형 제조업
352,골드피그,하성수,시계,서울특별시 영등포구 당산로32길 9 (당산동3가),시계 및 시계부품 제조업
353,광명금속공업사,이상민,악세사리,"서울특별시 영등포구 영중로41길 12, 1층 (영등포동8가, 성화상사(주))",도금업
354,광명인쇄,안병은,인쇄물,서울특별시 영등포구 문래로 181 (영등포동4가),기타 인쇄업 외 1 종
355,광성씨앤아이(주),서광수,배전반및전기자동제어반,"서울특별시 영등포구 당산로2길 12, 8층 803호 (문래동3가, 에이스테크노타워)",배전반 및 전기 자동제어반 제조업
356,광익상사,유영백,편조의복,"서울특별시 영등포구 가마산로 342 (대림동, 광익빌딩)",편조의복 제조업 외 1 종
357,광일액자,노상배,액자,서울특별시 영등포구 여의대방로13길 14 (신길동),장식용 목제품 제조업 외 2 종
358,광진기업,김방호외1인,섬유기계,서울특별시 영등포구 도림로141나길 21 (문래동4가),"기타 섬유, 의복 및 가죽 가공 기계 제조업"
359,광진사,김성백,스티커,"서울특별시 영등포구 경인로82길 3-4, 2층 214호 (문래동1가, 센터플러스), 215호 외 1필지",기타 인쇄업 외 2 종
360,광진정밀,김동호,감속기,서울특별시 영등포구 도림로145길 22 (문래동4가),기타 가공 공작기계 제조업
361,광진정밀,장택진,일반기계부품,"서울특별시 영등포구 선유로3길 10, 305호 (문래동5가)",그 외 기타 금속가공업
362,국제금속,김성철,롤제작,서울특별시 영등포구 경인로76길 12 (문래동1가),기타 가공 공작기계 제조업
363,국제금속상사,박순호,"밸브, 펌프,필터",서울특별시 영등포구 경인로77가길 14 (문래동2가) 34-1,"탭, 밸브 및 유사장치 제조업"
364,국제중공업주식회사,주정봉,"유압브레이커, 유압시스템",서울특별시 영등포구 영등포로3길 24-1 (양평동2가),유압기기 제조업
365,국제컨트로닉스(주),김동배,자동제어 DDC(Direct Digital Controller),"서울특별시 영등포구 당산로38길 1, 2층 (당산동4가)",배전반 및 전기 자동제어반 제조업
366,극동초음파엔지니어링,윤승옥,산업용초음파세척기,서울특별시 영등포구 도림제2동 184-4번지,"산업용 섬유 세척, 염색, 정리 및 가공 기계 제조업"
367,극동판금,이춘성,"전기콘트롤박스, 환경계측장비등",서울특별시 영등포구 경인로78길 11-5 (문래동1가),배전반 및 전기 자동제어반 제조업
368,금강,김유홍,브라인드부품,서울특별시 영등포구 양평로23길 12 (양평동5가),그 외 기타 플라스틱 제품 제조업
369,금강산업,이경호,전기기기,"서울특별시 영등포구 버드나루로8길 9, 102호 (영등포동7가)",그 외 기타 전자부품 제조업 외 1 종
370,금강전자,나의정,콘넥터.가스켓,서울특별시 영등포구 양평로21나길 8 (양평동5가),전자관제조업
371,금성하드웨어,서기조,"유리 고정 부속, 난간대","서울특별시 영등포구 경인로 775, 지 1층 b123호(문래동3가, 에이스하이테크시티)",구조용 금속 판제품 및 공작물 제조업
372,금양정밀기계,김양석,기계제작,서울특별시 영등포구 도림로141가길 17-1 (문래동4가),"용기 세척, 포장 및 충전기 제조업"
373,금전사,김용기,전자온도계,서울특별시 영등포구 양산로17길 6-15 (당산동3가),그외기타분류안된특수목적용기계제조업 외 1 종
374,금호메탈사인,김영호,명판,서울특별시 영등포구 선유로13길 25 비2층 9호,간판 및 광고물 제조업
375,기술과환경(주),김영성,다항목수질계측기,"서울특별시 영등포구 양산로 53, 204호(양평동3가, 월드메르디앙비즈센터) 204호","물질 검사, 측정 및 분석기구 제조업"
376,길우트레이딩,이영길,체지방측정기,"서울특별시 영등포구 선유로33길 15, 에이스테크노타워 703호 (양평동3가)","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업 외 2 종"
377,남북메디텍,이광수,"의료기기(마취기, 마취용 인공호흡기)","서울특별시 영등포구 양평로22가길 19, 1층 (양평동5가)",그 외 기타 의료용 기기 제조업
378,남북메디텍,이광수,마취기용 인공호흡기,"서울특별시 영등포구 영등포로5길 19, 11층 1106 (양평동2가, 동아프라임밸리)",그 외 기타 의료용 기기 제조업
379,남성기전(주),최전남,전기자동제어반,"서울특별시 영등포구 여의대방로69길 7, 충무빌딩 906호 (여의도동)",배전반 및 전기 자동제어반 제조업 외 4 종
380,넥스콤정보통신(주),최유돈,정류기및통신기기부속기기,"서울특별시 영등포구 영중로 119, 케이티 영등포지사 제2별관 1층 (영등포동8가)",기타 무선 통신장비 제조업
381,노드정보기술(주),정상권,"네트워크장비,블루투스제품","서울특별시 영등포구 당산로41길 11, W동 4층 429호 (당산동4가)",유선 통신장비 제조업 외 10 종
382,니트 컴,이득희,의류,"서울특별시 영등포구 가마산로 512-6, 3층 (신길동)","근무복, 작업복 및 유사의복 제조업 외 9 종"
383,단원금속주식회사,홍애란,"함마비트, 활차, 오거가이드, 샤프트",,"탭, 밸브 및 유사장치 제조업 외 8 종"
384,대경전자통신,이재식,"유무선전화기,휴대폰사출압착",서울특별시 영등포구 양평로22가길 8-1 (양평동5가),유선 통신장비 제조업
385,대경정밀,김철종,"금속표면처리,전기부품",서울특별시 영등포구 도림로133길 11-1 (문래동2가),육상 금속 골조 구조재 제조업 외 3 종
386,대광엔지니어링,민웅기,플라스틱 압출금형,서울특별시 영등포구 도림로147길 15-10 (문래동4가),주형 및 금형 제조업
387,대광전산폼,김원희,전산용지,서울특별시 영등포구 양평동2가 40-5번지,기타 인쇄업 외 1 종
388,대광주물,고덕용,건축울타리 부자재 및 기계주물,서울특별시 영등포구 도림로141라길 20-2 (문래동4가),기타 비철금속 주조업
389,대남금속,이선영,기계부품도금,"서울특별시 영등포구 선유로 176, 17-1호 (양평동3가)",도금업
390,대덕레이져.워터젯,이상민,레이져가공,"서울특별시 영등포구 경인로88길 9-5, 1층 (문래동1가)",절삭가공 및 유사처리업
391,대동목형,임경집,기계부품주물성형 목공품,서울특별시 영등포구 경인로78길 13-7 (문래동1가),목재 도구 및 주방용 나무제품 제조업
392,대림기획,방순주,스크린인쇄물,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 517호 (문래동1가)",경 인쇄업 외 3 종
393,대명,성문영,라벨 외,"서울특별시 영등포구 경인로78길 3-10 (문래동1가, 대명)",경 인쇄업 외 1 종
394,대명전자통신(주),유현국,음식물처리기,"서울특별시 영등포구 대림로35길 6, 2층(대림동, 대명빌딩)",기타 가정용 전기기기 제조업
395,대산기업,박재복,스텐레스호스클랩프,서울특별시 영등포구 경인로90길 5-12 (문래동1가),자동차용 금속 압형제품 제조업 외 1 종
396,대상테크열처리,박광우,열처리 및 기계가공,서울특별시 영등포구 선유서로 99 (양평동2가),금속 열처리업
397,대성기계,이명규,파쇄기부속외,서울특별시 영등포구 경인로94길 6 (문래동1가),금속 절삭기계 제조업
398,대성레이저,김경복,철구조물제조,서울특별시 영등포구 도림로 423 (문래동2가),그 외 기타 금속가공업
399,대성정밀산업사,김장곤,손목시계바늘,서울특별시 영등포구 도신로48길 10-1 (신길동),시계 및 시계부품 제조업
400,대신기계,이흥오,"충격완충기,분배변,오링펌프",서울특별시 영등포구 문래로 79-8 (문래동3가),절삭가공 및 유사처리업
401,대신정밀,최봉열,금형,서울특별시 영등포구 도림로141다길 31 (문래동4가),주형 및 금형 제조업
402,대신통신기술(주),김지영,"CCTV,영상감시장치,통합배선판,패치판넬","서울특별시 영등포구 국회대로 632, 케이엘케이 유윈시티 906호(영등포동7가)",유선 통신장비 제조업 외 1 종
403,대아전기,김동수,단자브럭,"서울특별시 영등포구 선유로33길 15, 지층 109호 (양평동3가)","전기회로 개폐, 보호장치 제조업 외 1 종"
404,대양이앤지,윤경수,"PVC FAN, 닥트",서울특별시 영등포구 양산로 96 (당산동2가),산업용 송풍기 및 배기장치 제조업
405,대영정밀,길장섭,철가공,"서울특별시 영등포구 선유로17길 28 (문래동6가, 영원실업주식회사)",일반철물 제조업 외 1 종
406,대영주물,양지은,알루미늄 박스,서울특별시 영등포구 도림로125가길 7 (문래동2가),알루미늄주물 주조업
407,대영프린팅,조성호,"옵셋,마그터,제본,출판책자",서울특별시 영등포구 영신로32길 8 (영등포동4가),기타 인쇄업 외 1 종
408,대용정밀,김옥희,금형,서울특별시 영등포구 영신로57길 16-8 (당산동4가),주형 및 금형 제조업
409,대우기공사,최대규,기계부품,서울특별시 영등포구 경인로74길 2 (문래동1가),기어및동력전달장치제조업
410,대운기계,고현숙,식품자동화기계및콘베어,서울특별시 영등포구 도림로141가길 32 (문래동4가),음ㆍ식료품 및 담배 가공기계 제조업
411,대원산업사,박기훈,자동차부속,서울특별시 영등포구 당산로48길 12 (당산동6가),기타자동차부품제조업
412,대월기전 주식회사,김승연,인공암벽홀드,"서울특별시 영등포구 선유로 146, 7층 714 (양평동3가, 이앤씨드림타워)",기타 운동 및 경기용구 제조업 외 1 종
413,대일섬유,임정옥,양말,서울특별시 영등포구 대림로34가길 20 (대림동),스타킹 및 기타 양말 제조업
414,대일정공,조태호,금형,"서울특별시 영등포구 경인로71길 70, 벽산디지털밸리 405,406호 (문래동5가)",주형 및 금형 제조업
415,대정기공사,김정훈,기계부품(중장비),서울특별시 영등포구 양평동1가 223번지,"기타 섬유, 의복 및 가죽 가공 기계 제조업"
416,대진공업사,김민남,"계량기CAST,염색기계POT,자동차부품",서울특별시 영등포구 양평동4가 27번지,구조용 금속 판제품 및 공작물 제조업
417,대진공업사,양성직,볼트,서울특별시 영등포구 경인로74길 13-1 (문래동1가),볼트 및 너트류 제조업 외 2 종
418,대진정밀,이재영,금형,"서울특별시 영등포구 양산로 95 (당산동3가, 대진정밀공장)",주형 및 금형 제조업
419,대진정밀,정정완,"금형부품, 기계부품","서울특별시 영등포구 경인로82길 3-4, 203호 (문래동1가)",주형 및 금형 제조업 외 1 종
420,대풍섬유,전병수,양말,서울특별시 영등포구 가마산로46가길 18 (대림동),스타킹 및 기타 양말 제조업
421,대하정공,이정준,철도차량부품 및베어링케이스,서울특별시 영등포구 국회대로54길 37-13 (영등포동2가),철도차량 부품 및 관련 장치물 제조업 외 4 종
422,대한마그네틱,오성주,"주차권,항공권",서울특별시 영등포구 선유로23길 6-3 (양평동1가),기타 인쇄관련 산업
423,대한문화인쇄사,황일영,종이와 관련되는 복사물과 인쇄물,"서울특별시 영등포구 국제금융로6길 33, 229호 (여의도동)",경 인쇄업 외 2 종
424,대한정보인쇄(주),이대현,"인쇄, 제조","서울특별시 영등포구 경인로82길 3-4, 109-1호 (문래동1가, 센터플러스)",경 인쇄업 외 2 종
425,대화기계제작(주),박배영,연신사제조시설기계,서울특별시 영등포구 경인로77가길 12 (문래동2가),"기타 섬유, 의복 및 가죽 가공 기계 제조업"
426,대화정공사,홍철기,"섬유기계부품,롤러제조,","서울특별시 영등포구 당산로 164-8 (당산동4가, 대화정공사)",그 외 기타 일반목적용 기계 제조업 외 1 종
427,대흥요업,오응규,요업기계,서울특별시 영등포구 도림로133길 8 (문래동2가),기타 가공 공작기계 제조업 외 6 종
428,대흥정밀,이흥극,"밸브,전자부품",서울특별시 영등포구 문래동1가 110-6번지,"탭, 밸브 및 유사장치 제조업 외 1 종"
429,더 제로,배진희,특수목적컴퓨터,"서울특별시 영등포구 경인로 775, (문래동3가, 에이스하이테크시티) 4동 4층 424호",컴퓨터 제조업 외 1 종
430,덕인공업사,박명덕,지하개발용품,서울특별시 영등포구 양평로28가길 29 (양평동6가),기타 가공 공작기계 제조업
431,도잠,이정혜,"OLIDA 모듈러 테이블 , ANZA 스툴 ","서울특별시 영등포구 선유동2로 75, 1층(양평동4가)",기타 목재가구 제조업
432,동광문화인쇄(주),장길만,인쇄물,서울특별시 영등포구 선유동1로 15-7 (양평동1가),경 인쇄업 외 1 종
433,동국문화인쇄,김욱동,인쇄물,"서울특별시 영등포구 경인로82길 3-4, B306호 (문래동1가)",경 인쇄업 외 3 종
434,동민로링테크,민미순,전제제품,서울특별시 영등포구 도림로141가길 13-1 (문래동4가),절삭가공 및 유사처리업
435,동서계전,윤상문,공정제어,서울특별시 영등포구 영중로 80-2 (영등포동7가),산업처리공정 제어장비 제조업
436,동서금속,이해진,자동화기계,서울특별시 영등포구 선유로 176 (양평동3가),"도금, 착색 및 기타 표면처리강재 제조업"
437,동서문화,김용만,기타인쇄물 외 20종,"서울특별시 영등포구 경인로82길 3-4, 9층 906 (문래동1가, 센터플러스)",경 인쇄업
438,동서씨엔씨(주),강희철,"공기정화장치, 송풍기, 여과기, 집진기, 탈취기, 인테리어디자인","서울특별시 영등포구 당산로41길 11, SK V1 center (당산동4가) W동 15층 09호",산업용 냉장 및 냉동 장비 제조업 외 1 종
439,동성인쇄 유한책임회사,권병서,쇼핑백,서울특별시 영등포구 선유로 167 (양평동3가),종이 포대 및 가방 제조업 외 2 종
440,동아정밀,정형모,금형,서울특별시 영등포구 도림로141가길 2-2 (문래동4가),그 외 기타 금속가공업
441,동양금속,남운환 외 1, 기계부속,"서울특별시 영등포구 선유로 176,  수화기업사 1층 78호 (양평동3가) 외 2필지",도금업
442,동양네트워크(주),김종렬,방송소신기 및 기타영상음향기기,"서울특별시 영등포구 경인로 775, 2동 16층 1607호 (문래동3가)","방송수신기및기타영상,음향기기제조업"
443,동원산전(주),이종기,승강기 부속품,"서울특별시 영등포구 선유로49길 23, 516호 (양평동4가)",승강기 제조업
444,동일공업사,남승운,건축 부자재(금속),서울특별시 영등포구 선유로9다길 21-2 (문래동5가),구조용 금속 판제품 및 공작물 제조업
445,동일전자공업사,"윤계원,박형근","전구, 조명기구 광고용램",서울특별시 영등포구 양평로21다길 14 (양평동5가),운송장비 조립용 플라스틱제품 제조업 외 2 종
446,동일테크,박용대,금형기계제작,"서울특별시 영등포구 양산로 16 (양평동2가, 아산공업)",주형 및 금형 제조업
447,동천문화사,이종완,전단지등 인쇄,"서울특별시 영등포구 경인로82길 3-4, B313호 (문래동1가)",기타 인쇄업 외 1 종
448,동해건기,김세영,공구,서울특별시 영등포구 문래로 79-7 (문래동3가),주형 및 금형 제조업
449,동해정보통신주식회사,이창원,"전원및영상컨트롤러, 영상전송,방송장비, cctv카메라","서울특별시 영등포구 대림로 245, 2층(대림동)",기타 무선 통신장비 제조업 외 2 종
450,두성후로엔지니어링(주),"한두열, 김승철",차압식유량계 (Orifice),"서울특별시 영등포구 영등포로5길 45-2, 1층(양평동2가)",산업처리공정 제어장비 제조업
451,두원기계,이명용,의료용실험기기,"서울특별시 영등포구 경인로82길 3-4, 4층 413호 (문래동1가, 센터플러스)",그 외 기타 의료용 기기 제조업 외 1 종
452,두원이엔씨,박승빈,"변압기, 철도신호기기 등","서울특별시 영등포구 선유서로28길 7, 102호~103호 (양평동1가)",변압기 제조업 외 7 종
453,드림플러스,한영환,큐빅케이스,"서울특별시 영등포구 선유로 27, 대륭빌딩 205호(202호 중) (문래동5가)",귀금속 및 관련제품 제조업
454,디에스,임지연,"근무복,작업복 및 유사의복 제조업 11종","서울특별시 영등포구 가마산로79길 7, 삼성아파트상가 제2동 지하1층 (신길동, 삼성래미안아파트)",침구 및 관련제품 제조업 외 11 종
455,디에스환경기술(주),김영익,슬러지농축기 등,"서울특별시 영등포구 양평로28마길 7 (양평동6가, 대한정밀)",액체 여과기 제조업 외 2 종
456,디엠씨코리아테크(DMC KOREA TECH),박해영,금형,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 비117호 (문래동1가)",주형 및 금형 제조업
457,디엠이테크(주),김성훈,정류기,"서울특별시 영등포구 선유로33길 15, 1층 105호 (양평동3가)",컴퓨터입·출력장치및기타주변기기제조업 외 1 종
458,라인치과기공(주),진순환,치과기공,"서울특별시 영등포구 가마산로 329, 501~502호 (대림동, 소망빌딩)",치과기공물 제조업 외 2 종
459,록키스코리아테크놀로지(주),정승태,항공자동시험진단장비,"서울특별시 영등포구 당산로2길 12, 7층 703호 (문래동3가, 에이스테크노타워)",항공기용 부품 제조업 외 5 종
460,롯데웰푸드(주)영등포공장,"이영구,이창엽",아이스크림,"서울특별시 영등포구 양평로21길 25 (양평동4가, 롯데제과(주))",아이스크림 및 기타 식용빙과류 제조업
461,롯데웰푸드(주)영등포공장,"이영구,이창엽","과자,빙과류",서울특별시 영등포구 양평동4가 17번지 외 1필지,과자류 및 코코아 제품 제조업
462,마라포사,박소영,건조기,"서울특별시 영등포구 경인로 775, 4동 4층 416호 (문래동3가, 에이스하이테크시티)",기타가정용전기기기제조업
463,마스터코리아,임병갑,"전자부품, 광학센서","서울특별시 영등포구 당산로41길 11, W동 322호 (당산동4가) 외 1필지","기타 측정, 시험, 항해, 제어 및 정밀기기 제조업"
464,마이산업,정영수,조립용플라스틱,서울특별시 영등포구 도신로15길 29-3 (도림동),운송장비 조립용 플라스틱제품 제조업 외 2 종
465,만리산업,송영용,의료기계 부품,서울특별시 영등포구 도림로139길 17-2 (문래동2가),기타 비철금속 주조업
466,만영산업사,이기연,자동차부품,서울특별시 영등포구 양평동5가 52번지,그 외 기타 고무제품 제조업
467,만주기공사,최주석,"금형, 기타부품",서울특별시 영등포구 경인로80길 13 (문래동1가),주형 및 금형 제조업 외 2 종
468,맥프로세스,김범열,"실사출력,pop","서울특별시 영등포구 양산로 43, 4층 403호 (양평동3가, 양평동우림 이 비지센타)",경 인쇄업 외 4 종
469,멀티큐브텍,이영재,8 Port giga hub,"서울특별시 영등포구 당산로41길 11, 2층 221 (당산동4가)",유선 통신장비 제조업
470,메카락,김태훈,"컵핸들, 문장김쇠, 도어록, 자물쇠","서울특별시 영등포구 가마산로 361, 1층외 (대림동, 안국빌딩)",일반철물 제조업
471,명공사,방지욱,"전기,전자케이스 및 의료기구 케이스",서울특별시 영등포구 경인로77가길 15 (문래동2가),그 외 기타 달리 분류되지 않은 제품 제조업 외 1 종
472,명성기업,임수용,함마빗트,서울특별시 영등포구 문래동1가 3번지,건설 및 채광용 기계장비 제조업
473,명신ENG,고범진,"금형, 플라스틱 뚜껑","서울특별시 영등포구 선유로 115, 1층 (양평동1가)",합성수지 및 기타 플라스틱 물질 제조업 외 1 종
474,명전사,강규원,소형 전압기,서울특별시 영등포구 대림로35가길 15 (대림동),"전자코일, 변성기 및 기타 전자 유도자 제조업"
475,모닝시스템(주),"임고송, 이진영",자동제어시스템,"서울특별시 영등포구 선유로33길 15, 지층 105호 (양평동3가)",산업처리공정 제어장비 제조업
476,모닝시스템(주),"임고송, 이진영",산업처리제어장비,"서울특별시 영등포구 양산로 43, 4층 412호 (양평동3가, 양평동우림 이 비지센타)",산업처리공정 제어장비 제조업
477,모바일파킹유한회사,김중근,,서울특별시 영등포구 선유로13길 25 (문래동6가) 에이스하이테크시티2 503호,유선 통신장비 제조업 외 5 종
478,모바클코포레이션,김상욱,"전기자전거,전동운반차량 외","서울특별시 영등포구 선유로 176, 1층11호 (양평동3가)",모터사이클 제조업 외 1 종
479,모툴초경,이용우,급전다이스,"서울특별시 영등포구 경인로82길 3-4, 11층 1107호 11층 1107호 (문래동1가)",전자 응용 절삭기계 제조업
480,문일화학,김철민,인쇄물,"서울특별시 영등포구 가마산로 505, 2층 (신길동, 대명빌딩)",경 인쇄업
481,문정인쇄공사,최광직,인쇄물,"서울특별시 영등포구 경인로82길 3-4, 센터플러스 지하216호 (문래동1가)",기타 인쇄업 외 2 종
482,미래 이앤지,유철,"와이어드럼, 장축, 가이드밴","서울특별시 영등포구 경인로78길 12, 1층 (문래동1가)",금속 절삭기계 제조업
483,미래테크,홍해준,LED조명,서울특별시 금천구 독산동 1060-25 미래테크,전구 및 램프 제조업
484,미소커뮤니케이션,이효정,"간판, 현수막,깃발,오탁방지막,오일펜스,부표,고무보트","서울특별시 영등포구 경인로 763, 제9호내제9호 (문래동3가)",간판 및 광고물 제조업 외 6 종
485,밀알,김준연,편복의류,서울특별시 영등포구 디지털로 395 (대림동),편조의복 제조업
486,반암주식회사,한수덕,반도체 박막 ,"서울특별시 영등포구 도신로4길 21-1, 반암(대림동)",기타 반도체소자 제조업
487,발간실,김홍석,대본인쇄,"서울특별시 영등포구 여의공원로 13, 본관 1층 (여의도동, 한국방송공사)",경 인쇄업 외 1 종
488,백영전자 주식회사,임대순,LED 안내전광판,"서울특별시 영등포구 선유로 146, 13층층 1304호 (양평동3가, 이앤씨드림타워) 13층층 1304호",전시 및 광고용 조명장치 제조업
489,백영전자(주),임대순,"전자교탁,통합컨트롤러","서울특별시 영등포구 선유로 146, 7층 705 (양평동3가, 이앤씨드림타워)",사무용 기계 및 장비 제조업 외 1 종
490,범아조명 주식회사,주양수,LED 조명등,"서울특별시 영등포구 당산로27길 13 (당산동3가) 1층, 2층",일반용 전기 조명장치 제조업
491,보람아이티에스 주식회사,김용순,"제제조토너, 재생토너","서울특별시 영등포구 영신로 220 (영등포동8가, KnK디지털타워) 5층 504호",기타 주변기기 제조업 외 1 종
492,보성금속,정지웅,"NAME PLATE, 금속가공","서울특별시 영등포구 경인로82길 3-4 (문래동1가, 센터플러스) 3층층 320호",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
493,보성금속,이태화,"후레쉬,드라이,오토바이부품",서울특별시 영등포구 양평로 131-1 (양평동5가),자동차용 금속 압형제품 제조업 외 1 종
494,보성종합인쇄,김수주,인쇄물,"서울특별시 영등포구 경인로82길 3-4, 지하2층221호(문래동1가, 센터플러스)",경 인쇄업 외 3 종
495,부영산업,심경탁,펌프,"서울특별시 영등포구 양평로30나길 8 (양평동6가, 대신금속)",액체 펌프 제조업
496,부흥변속기제작소,김원식,변속기,서울특별시 영등포구 선유로49길 36 (양평동4가),기타 가공 공작기계 제조업
497,비엘텍코리아(주),박현근,수질계측장비,"서울특별시 영등포구 경인로 775, 1동 16층 1608 (문래동3가, 에이스하이테크시티)","물질 검사, 측정 및 분석기구 제조업"
498,비젼이노텍(주)제1공장,김상곤,복합재료공구류,"서울특별시 영등포구 선유서로 17, 1층 101호 (문래동5가, 문래동 빅토리 테크노 타워), 2층201호 외 1필지",기타 가공 공작기계 제조업
499,삼광공업사,이정호,상하수처리부품,서울특별시 영등포구 당산동4가 9-3번지,액체 여과기 제조업 외 4 종
500,삼광컴퍼니 주식회사,김재영,Iot,"서울특별시 영등포구 버드나루로14길 25, 701호 (당산동)",그 외 기타 전자부품 제조업 외 1 종
501,삼본기계제작소,김해식,기계제작,서울특별시 영등포구 문래동3가 85번지,그 외 기타 특수목적용 기계 제조업
502,삼부기업사,안상문,플라스틱용기,"서울특별시 영등포구 도림로 189 (대림동, 대호전자)",포장용 플라스틱 성형용기 제조업
503,삼성정밀기어,안상원,정밀기어,서울특별시 영등포구 경인로 738 (문래동1가),기어 및 동력전달장치 제조업 외 1 종
504,삼성정밀조각,주성하,"자동차번호판금형,유압프레스등",서울특별시 영등포구 경인로78길 3-11 (문래동1가),주형 및 금형 제조업 외 6 종
505,삼손물산(주),송진환,용수처리기,서울특별시 영등포구 경인로74길 1-5 (문래동1가),그 외 기타 전기장비 제조업 외 1 종
506,삼영공업사,이병길,자동차스프링볼트,"서울특별시 영등포구 영등포로20길 22-4, 1층 (문래동3가)",볼트 및 너트류 제조업 외 2 종
507,삼오식품,권병헌,떡류,"서울특별시 영등포구 도신로 143 (도림동, 대원빌딩)",떡류 제조업
508,삼원상사,고성빈 외1명,자동차부품,서울특별시 영등포구 선유로 108-7 (양평동1가),기타 자동차 신품 부품 및 내장품 판매업 외 2 종
509,삼익특수인물,한영욱,공업용칼날,서울특별시 영등포구 문래동1가 37번지,톱 및 호환성 공구 제조업
510,삼차원기계,양우석,기계제작,서울특별시 영등포구 문래동6가 25-1번지,기타 가공 공작기계 제조업
511,삼호기어,김태환,기어부품,서울특별시 영등포구 도림로139길 6 (문래동2가),기어 및 동력전달장치 제조업
512,삼호테크,김미애,기계부품,서울특별시 영등포구 도림로141가길 12-1 (문래동4가),절삭가공 및 유사처리업
513,삼화산업기계,박병정,"저장탱크,교반탱크 스텐레스가공 제작",서울특별시 영등포구 경인로77가길 11 (문래동2가),금속탱크 및 저장용기 제조업
514,상무텔레콤(주),한승열,케이블,"서울특별시 영등포구 양산로 53, 월드메르디앙308호 308호 (양평동3가)",유선 통신장비 제조업 외 1 종
515,상문상사,권종상,정부서식,"서울특별시 영등포구 양평로28마길 24 (양평동6가, 상문상사)",기타 인쇄업 외 1 종
516,상신산업사,김학근,급유기,"서울특별시 영등포구 선유로 58-6, 301호 (문래동3가)",액체펌프제조업 외 1 종
517,상진공업사,박정희,플라스틱성형품,"서울특별시 영등포구 영등포로 28 (양평동2가, 백정형외과)",포장용 플라스틱 성형용기 제조업 외 2 종
518,상진공업사,송근길,부품가공,서울특별시 영등포구 경인로74길 8 (문래동1가),비동력식 수공구 제조업 외 15 종
519,서광테크닉,임규명,악세사리,서울특별시 영등포구 당산로50길 10 (당산동6가),도금업
520,서울유압부레이카,최영국,"철문,유압브레이카",서울특별시 영등포구 문래북로 58-7 (문래동3가),광물처리 및 취급장비 제조업
521,서울의료기공업사,차민주 외 2명,이빈인후과 unit,서울특별시 영등포구 경인로72길 3 (문래동1가),그 외 기타 의료용 기기 제조업
522,서울컴퓨터인쇄사,김병일,인쇄물,"서울특별시 영등포구 버드나루로14길 17 (영등포동7가, 경인빌딩)",기타 인쇄업 외 1 종
