순번,회사명,대표자명,생산품,공장대표주소(도로명),업종명
306,(주)한미이앤지,최오운,백필터,서울특별시 영등포구 경인로74길 7-4 (문래동1가),액체 여과기 제조업
307,(주)한보상사,문주길,"스티커,라벨","서울특별시 영등포구 경인로82길 3-4, 3층 315,315-1,316 (문래동1가, 센터플러스)",오프셋 인쇄업 외 1 종
308,(주)한영전자,한영수,온도조절계,서울특별시 영등포구 도림로125길 29 (문래동2가),"전자기 측정, 시험 및 분석기구 제조업 외 2 종"
309,(주)한일전열엔지니어링,홍석명,산업용전열기기,"서울특별시 영등포구 선유로33길 15, 2층 203호 (양평동3가)","산업용 오븐, 노 및 노용 버너 제조업 외 1 종"
310,(주)한진티앤피,김영복,스티커 외,"서울특별시 영등포구 경인로82길 3-4, 2층 216호 (문래동1가, 센터플러스)",그 외 기타 종이 및 판지 제품 제조업 외 3 종
311,(주)합동전자산업,정현,구내방송장치,서울특별시 영등포구 양산로 9 (양평동3가),기타 음향기기 제조업 외 10 종
312,(주)해리알앤디,최병만,광통신 케이블 가공품,"서울특별시 영등포구 영신로 220, 2층 205호 (영등포동8가, KnK디지털타워)",절연 코드세트 및 기타 도체 제조업
313,(주)허브앤스포크,김일겸,텐조이스마트짐보드,"서울특별시 영등포구 선유로 146, 5층 505 (양평동3가, 이앤씨드림타워)",기타 주변기기 제조업
314,(주)헤브런,이원동,산업용컴퓨터,"서울특별시 영등포구 영등포로5길 19, B1층 105 (양평동2가, 동아프라임밸리)",컴퓨터 제조업
315,(주)헤브론,김경환,"휘장기치물,상패,트로피","서울특별시 영등포구 양산로 57-5, 11층 1105호 (양평동3가, 양평동 이노플렉스) 11층 1105호",그 외 기타 분류 안된 금속 가공 제품 제조업 외 1 종
316,(주)협성히스코,양경돈,계측기,서울특별시 영등포구 선유로43길 32 (양평동4가) (총 2 필지) 외 1필지,"물질 검사, 측정 및 분석기구 제조업 외 1 종"
317,(주)호마상사,지양섭,수처리미생물제재,"서울특별시 영등포구 선유로 70, 지층 208호 지층 208호 (문래동3가)",기초 의약 물질 제조업 외 3 종
318,(주)호반금거래소,이안방,골드코인,서울특별시 영등포구 양평로27길 31 (양평동5가),"기타 비철금속 압연, 압출 및 연신 제품 제조업"
319,(주)호성에스엔텍,김정,"CCTV, 카메라",서울특별시 영등포구 양산로 88-6 (당산동2가),방송및무선통신기기제조업
320,(주)화인에스앤씨,현재길,무선 마이크시스템 외,"서울특별시 영등포구 영신로 220, 13층 1309 (영등포동8가, KnK디지털타워)",기타 음향기기 제조업
