순번,회사명,공장대표주소(도로명),업종명,데이터기준일자
87,마하자수,서울특별시 종로구 종로36길 20 (종로5가),자수제품 및 자수용재료 제조업 외 9 종,2025-07-09
88,메타볼랩(주),서울특별시 종로구 연건동 28번지,생물학적 제제 제조업,2025-07-09
89,모던라이트,"서울특별시 종로구 창경궁로20길 29 (원남동, 남성빌딩)",기타 가정용 전기기기 제조업,2025-07-09
90,문성정보문화(주),"서울특별시 종로구 자하문로7길 24, 지하1층 (통인동)",기타 인쇄업 외 1 종,2025-07-09
91,문아트,"서울특별시 종로구 창경궁로20길 20, 4층 (원남동, 창경빌딩)",귀금속 및 관련제품 제조업,2025-07-09
92,미래조명,"서울특별시 종로구 동순라길 122 (원남동, 월금빌딩)",일반용 전기 조명장치 제조업,2025-07-09
93,민들레상사,"서울특별시 종로구 종로35가길 18 (효제동, 희정빌딩)",침구 및 관련제품 제조업,2025-07-09
94,민후아트,"서울특별시 종로구 사직로8길 21-2, 지층(내자동, 서라벌빌딩)",경 인쇄업,2025-07-09
95,비둘기집장애인보호작업장,"서울특별시 종로구 동숭4길 28 (동숭동, 비둘기 재활센타)",의료용품 및 기타 의약 관련제품 제조업 외 2 종,2025-07-09
96,비앤비,"서울특별시 종로구 종로41길 16, 3층 (종로6가)",남자용 겉옷 제조업 외 3 종,2025-07-09
97,사회교육문화사,서울특별시 종로구 통인동 6번지,기타 인쇄업 외 2 종,2025-07-09
98,삼도실업(주),"서울특별시 종로구 사직로10길 12 (필운동, 신우빌딩)",기타 인쇄업 외 1 종,2025-07-09
99,삼영DP,서울특별시 종로구 사직로 125 (적선동),경 인쇄업 외 2 종,2025-07-09
100,삼우양행,서울특별시 종로구 서린동 145번지,정형외과용 및 신체보정용 기기 제조업,2025-07-09
101,상명에프앤씨,"서울특별시 종로구 종로39길 54, 3,4층(충신동, 조일빌딩)",남자용 겉옷 제조업 외 6 종,2025-07-09
102,서강데이타(주),"서울특별시 종로구 새문안로5가길 7, 602호 (내수동)",유선 통신장비 제조업 외 1 종,2025-07-09
103,성훈조명,"서울특별시 종로구 동순라길 86-6, 3층 전체 (원남동)",일반용 전기 조명장치 제조업,2025-07-09
104,세원토탈싸인,"서울특별시 종로구 청계천로 129-5, 3층(관수동, 세종)",간판 및 광고물 제조업,2025-07-09
105,스마일레코드(주),서울특별시 종로구 사직로 108-9 (내자동),기록매체 복제업,2025-07-09
106,신광조명,"서울특별시 종로구 창경궁로18길 5, (2층) (원남동)",일반용 전기 조명장치 제조업,2025-07-09
107,신광조명상사,서울특별시 종로구 창경궁로16길 21-8 (연지동),일반용 전기 조명장치 제조업,2025-07-09
108,신광종합기획,"서울특별시 종로구 수표로18길 22, 701호 (관수동)",간판 및 광고물 제조업 외 1 종,2025-07-09
109,신풍상사,서울특별시 종로구 율곡로 230-11 (충신동),단추 및 유사 파스너 제조업,2025-07-09
110,싸강,서울특별시 종로구 사직로 5 (행촌동),여자용 겉옷 제조업 외 3 종,2025-07-09
111,알머슨퍼시픽유한책임회사,"서울특별시 종로구 종로 321, 3층 (창신동)",화장품 제조업,2025-07-09
112,알파색채(주),서울특별시 종로구 평창문화로 16 (평창동),요업용 도포제 및 관련제품 제조업,2025-07-09
113,엘카,"서울특별시 종로구 돈화문로 59, 백양빌딩 3층 (묘동)",귀금속 및 관련제품 제조업,2025-07-09
114,엘투산업,"서울특별시 종로구 자하문로7길 24, 2층 (통인동)",가방 및 기타 보호용 케이스 제조업,2025-07-09
115,엠알리무대의상,서울특별시 종로구 돈화문로11길 10 (돈의동),그 외 기타 의복액세서리 제조업,2025-07-09
116,영창사,서울특별시 종로구 수표로26길 16-2 (돈의동),귀금속 및 관련제품 제조업,2025-07-09
117,오주기획,"서울특별시 종로구 수표로18길 9 (관수동, 관일빌딩)",간판 및 광고물 제조업,2025-07-09
118,우로전자주식회사,서울특별시 종로구 사직로 61 (사직동),방송장비 제조업 외 3 종,2025-07-09
119,우성특수복,서울특별시 종로구 청계천로 243 (종로5가),"근무복, 작업복 및 유사의복 제조업 외 4 종",2025-07-09
120,월금조명,"서울특별시 종로구 동순라길 122, 101호 (원남동, 월금빌딩)",일반용 전기 조명장치 제조업 외 1 종,2025-07-09
121,월드조명,서울특별시 종로구 대학로3길 10 (효제동),일반용 전기 조명장치 제조업,2025-07-09
122,유앤라이팅,"서울특별시 종로구 창경궁로18길 22-5 (원남동, 반석빌딩)",전구 및 램프 제조업 외 1 종,2025-07-09
123,유희,"서울특별시 종로구 서순라길 27-5, 영보빌딩 1층 (봉익동)",귀금속 및 관련제품 제조업,2025-07-09
124,인더스마트 주식회사,"서울특별시 종로구 대학로 71, 서울대학교병원 의학연구혁신센터 B1 (연건동)",그 외 기타 의료용 기기 제조업,2025-07-09
125,일신종합문구제책사,서울특별시 종로구 평창1길 7-3 (평창동),제책업 외 2 종,2025-07-09
126,정원조명,"서울특별시 종로구 창경궁로20길 28, 외 1필지(2,3층) (원남동)",기타 조명장치 제조업 외 5 종,2025-07-09
127,정일가공,서울특별시 종로구 숭인동 57번지,편조원단 제조업,2025-07-09
