,허가번호,경도,위도
4532,322016110043596,126.978903,37.559361
4533,322016110043597,126.978903,37.559361
4534,322016110043599,126.981983,37.561044
4535,322016110044816,126.982167,37.560839
4540,322016110046724,126.978944,37.561433
4559,322016110054241,126.979847,37.559197
4584,322016110078002,126.980967,37.560911
4585,322016110078003,126.980967,37.560911
4586,322016110078004,126.980967,37.560911
4587,322016110078005,126.980967,37.560911
4588,322016110078006,126.980967,37.560911
4589,322016110078007,126.980967,37.560911
4590,322016110078008,126.980967,37.560911
4591,322016110078009,126.980967,37.560911
4592,322016110078010,126.980967,37.560911
4593,322016110078061,126.975953,37.556603
4594,322016110078062,126.975953,37.556603
4595,322016110078076,126.974903,37.558972
4596,322016110078077,126.974869,37.558911
4597,322016110078081,126.982544,37.560942
4599,322016110080434,126.977392,37.559058
4600,322016110080435,126.977392,37.559058
4601,322016110080436,126.977392,37.559058
4602,322016110080437,126.977392,37.559058
4603,322016110080438,126.977392,37.559058
4604,322016110080439,126.977392,37.559058
4605,322016110080440,126.977392,37.559058
4616,322017110011099,126.976806,37.554772
4617,322017110014665,126.978839,37.55745
4618,322017110014666,126.980117,37.556758
4619,322017110016076,126.981294,37.555628
4632,322017110033210,126.976644,37.559972
4633,322017110044183,126.976222,37.559417
4634,322017110044184,126.976222,37.559417
4635,322017110044185,126.976222,37.559417
4678,322018110002402,126.974842,37.557097
4679,322018110002403,126.974844,37.5571
4684,322018110011101,126.975761,37.558342
4686,322018110012296,126.979847,37.559197
4687,322018110012398,126.977022,37.55875
4689,322018110013781,126.97895,37.561403
4690,322018110015530,126.978906,37.559325
4693,322018110019946,126.977656,37.559656
4696,322018110020344,126.981733,37.559428
4697,322018110020345,126.981733,37.559428
4698,322018110020346,126.981733,37.559428
4699,322018110020347,126.981733,37.559428
4700,322018110020348,126.981733,37.559428
4701,322018110020349,126.981733,37.559428
4710,322018110027196,126.975817,37.557594
4711,322018110027197,126.975817,37.557594
4720,322018110037898,126.975958,37.554594
4721,322018110037899,126.975958,37.554594
4722,322018110037900,126.975958,37.554594
4727,322018110045317,126.974903,37.559
4731,322018110046430,126.980981,37.560919
4732,322018110046431,126.980981,37.560919
4733,322018110046432,126.980758,37.56035
4734,322018110046433,126.980981,37.560919
4735,322018110046434,126.980981,37.560919
4740,322018110047506,126.974839,37.557125
4743,322018110053896,126.976953,37.557236
4755,322018110059350,126.977897,37.561
4756,322018110059351,126.977897,37.561
4757,322018110059378,126.975942,37.556603
4758,322018110059379,126.975942,37.556603
4759,322018110059380,126.975942,37.556603
4760,322018110059381,126.975942,37.556603
4761,322018110059382,126.975942,37.556603
4762,322018110059383,126.975942,37.556603
4763,322018110059384,126.975942,37.556603
4764,322018110059385,126.975942,37.556603
4765,322018110059386,126.975942,37.556603
4766,322018110059387,126.975942,37.556603
4767,322018110059388,126.975942,37.556603
4768,322018110059389,126.975942,37.556603
4769,322018110059390,126.975942,37.556603
4774,322018110063245,126.975397,37.558528
4775,322018110063246,126.975397,37.558528
4778,322018110063469,126.975397,37.558528
4779,322018110063470,126.975397,37.558528
4780,322018110063471,126.975397,37.558528
4794,322019110003616,126.982786,37.556244
4797,322019110009545,126.977233,37.560308
4808,322019110023051,126.978936,37.560422
4905,322020110052545,126.978203,37.560119
4910,322020110054772,126.976319,37.560192
4914,322021110000163,126.978936,37.560422
4919,322021110000312,126.977336,37.558092
4960,322022110004621,126.981081,37.558389
4965,322022110006441,126.980758,37.56035
4983,322022110022504,126.981081,37.558389
5019,322022110066639,126.974839,37.557125
5044,322023110030045,126.977656,37.559656
5050,322023110036137,126.982628,37.56095
5059,322024110003379,126.982047,37.560397
5071,322024110014568,126.977639,37.559178
5078,322024110015784,126.981994,37.561064
5096,322024110037551,126.980489,37.561033
5103,322025110004972,126.980758,37.56035
5109,322025110008848,126.983617,37.557489
5247,322014110005210,126.986981,37.558861
